eventID,eventDate,Year,Month,Day,minimumDepthInMeters,maximumDepthInMeters,sampleSizeValue,sampleSizeUnit,footprintWKT,decimalLatitude,decimalLongitude,coordinateUncertaintyInMeters,geodeticDatum,samplingEffort
IYS2022-002-009,2022-02-22T20:42:05Z/2022-02-22T21:42:14Z,2022,2,22,1,25,60,minutes,"LINESTRING ( -135.0002 50.012733 , -135.012366 49.933366 )",49.973049795930606,-135.00628800227838,4435.45555119309,WGS84,midwater trawl
IYS2022-002-013,2022-02-23T05:02:21Z/2022-02-23T06:02:28Z,2022,2,23,4,34,60,minutes,"LINESTRING ( -134.992233 49.019033 , -134.983633 48.934 )",48.976516737613494,-134.98792934302722,4738.696500570467,WGS84,midwater trawl
IYS2022-002-017,2022-02-23T15:20:43Z/2022-02-23T16:20:56Z,2022,2,23,3,51,60,minutes,"LINESTRING ( -135.002166 48.034766 , -134.992983 47.950916 )",47.9928412455165,-134.99757078079887,4674.227452513066,WGS84,midwater trawl
IYS2022-002-021,2022-02-23T23:31:11Z/2022-02-24T00:31:31Z,2022,2,23,3,34,60,minutes,"LINESTRING ( -134.98995 47.031716 , -135.000466 46.950266 )",46.99099126622228,-134.99521199398694,4545.058417843522,WGS84,midwater trawl
IYS2022-002-025,2022-02-24T15:00:07Z/2022-02-24T16:00:12Z,2022,2,24,3,45,60,minutes,"LINESTRING ( -137.983783 46.9716 , -138.0147 47.048766 )",47.010184173971126,-137.9992303678015,4447.467952210538,WGS84,midwater trawl
IYS2022-002-029,2022-02-24T23:24:05Z/2022-02-25T00:25:15Z,2022,2,24,2,27,61,minutes,"LINESTRING ( -137.99225 47.975266 , -137.994983 48.061733 )",48.018499671614265,-137.99361535753087,4808.2430891087415,WGS84,midwater trawl
IYS2022-002-033,2022-02-26T17:27:44Z/2022-02-26T18:27:46Z,2022,2,26,2,30,60,minutes,"LINESTRING ( -137.991166 48.951333 , -137.997233 49.045033 )",48.99818323107493,-137.99419665500088,5214.900939938072,WGS84,midwater trawl
IYS2022-002-037,2022-02-27T02:39:21Z/2022-02-27T03:39:28Z,2022,2,27,2,43,60,minutes,"LINESTRING ( -137.953416 49.996933 , -138.0811 49.996883 )",49.99692556296933,-138.01725803310205,4577.494143574441,WGS84,midwater trawl
IYS2022-002-041,2022-02-27T18:11:15Z/2022-02-27T19:11:41Z,2022,2,27,2,32,60,minutes,"LINESTRING ( -141.009066 50.065833 , -140.997683 49.990183 )",50.02800826349253,-141.0033700301339,4226.978959867056,WGS84,midwater trawl
IYS2022-002-045,2022-02-28T02:41:02Z/2022-02-28T03:41:06Z,2022,2,28,2,28,60,minutes,"LINESTRING ( -141.005416 49.05235 , -140.9771 48.97005 )",49.01120101606967,-140.99124633189822,4692.032694591085,WGS84,midwater trawl
IYS2022-002-049,2022-02-28T17:25:10Z/2022-02-28T18:25:16Z,2022,2,28,3,34,60,minutes,"LINESTRING ( -140.974016 48.0603 , -140.989183 47.985833 )",48.02306687154492,-140.98160496119675,4178.487759673485,WGS84,midwater trawl
IYS2022-002-050,2022-03-01T02:00:24Z/2022-03-01T03:00:34Z,2022,3,1,2,31,60,minutes,"LINESTRING ( -140.947883 46.997633 , -141.068416 46.9921 )",46.994882359646674,-141.00815261021768,4594.3729683454185,WGS84,midwater trawl
IYS2022-002-054,2022-03-01T18:04:09Z/2022-03-01T19:04:14Z,2022,3,1,"NA","NA",60,minutes,"LINESTRING ( -144.00765 46.058066 , -144.012333 45.980083 )",46.01907465758977,-144.0099931458285,4337.7623547307585,WGS84,midwater trawl
IYS2022-002-059,2022-03-02T05:47:16Z/2022-03-02T06:47:20Z,2022,3,2,"NA","NA",60,minutes,"LINESTRING ( -144.024283 46.957766 , -143.982 47.032566 )",46.99516807432954,-144.00315625013616,4457.926973305717,WGS84,midwater trawl
IYS2022-002-063,2022-03-02T17:31:21Z/2022-03-02T18:31:26Z,2022,3,2,"NA","NA",60,minutes,"LINESTRING ( -143.995483 47.946683 , -144.019616 48.026366 )",47.98652527261564,-144.0075402137066,4520.616586950944,WGS84,midwater trawl
IYS2022-002-069,2022-03-04T06:04:28Z/2022-03-04T07:04:33Z,2022,3,4,2,35,60,minutes,"LINESTRING ( -141.075416 50.990633 , -140.947466 51.007216 )",50.99894202065186,-141.01145240190377,4584.749359331742,WGS84,midwater trawl
IYS2022-002-073,2022-03-04T17:23:45Z/2022-03-04T18:23:51Z,2022,3,4,3,34,60,minutes,"LINESTRING ( -141.012416 51.9287 , -141.010033 52.006933 )",51.967816636705365,-141.0112255373117,4353.135786538049,WGS84,midwater trawl
IYS2022-002-077,2022-03-05T02:28:14Z/2022-03-05T03:28:30Z,2022,3,5,3,30,60,minutes,"LINESTRING ( -140.9969 52.9553 , -141.0556 53.021233 )",52.98827021425602,-141.0262276540101,4164.652289493726,WGS84,midwater trawl
IYS2022-002-081,2022-03-05T17:17:24Z/2022-03-05T18:17:39Z,2022,3,5,3,31,60,minutes,"LINESTRING ( -138.052866 52.989183 , -137.93025 53.036933 )",53.01307384957811,-137.99159183541286,4898.070391296498,WGS84,midwater trawl
IYS2022-002-085,2022-03-06T03:28:56Z/2022-03-06T04:28:58Z,2022,3,6,3,32,60,minutes,"LINESTRING ( -138.0215 51.977983 , -137.943733 52.035633 )",52.00681448796579,-137.98264148049302,4173.220463546968,WGS84,midwater trawl
IYS2022-002-089,2022-03-06T17:02:19Z/2022-03-06T18:02:31Z,2022,3,6,3,27,60,minutes,"LINESTRING ( -135.040516 51.976383 , -134.943416 52.033833 )",52.0051180747828,-134.99199708057193,4618.501849217091,WGS84,midwater trawl
IYS2022-002-093,2022-03-07T03:28:23Z/2022-03-07T04:28:42Z,2022,3,7,3,34,60,minutes,"LINESTRING ( -135.0614 50.97505 , -134.969783 51.029366 )",51.00221704322421,-135.0156182441514,4412.206226901412,WGS84,midwater trawl
IYS2022-002-097,2022-03-10T08:27:48Z/2022-03-10T09:27:57Z,2022,3,10,2,34,60,minutes,"LINESTRING ( -134.92445 52.978516 , -135.03935 53.0111 )",52.994821900256575,-134.9818783784596,4262.336305810706,WGS84,midwater trawl
IYS2022-002-101,2022-03-11T01:13:36Z/2022-03-11T02:13:53Z,2022,3,11,2,31,60,minutes,"LINESTRING ( -137.9756 54.959583 , -138.0584 55.020233 )",54.989915120113146,-138.0169687876329,4291.757109995576,WGS84,midwater trawl
IYS2022-002-106,2022-03-11T11:24:09Z/2022-03-11T12:24:26Z,2022,3,11,3,34,60,minutes,"LINESTRING ( -138.060883 53.965316 , -137.9593 54.021216 )",53.99327679661842,-138.0101255150891,4557.984679181702,WGS84,midwater trawl
IYS2022-002-110,2022-03-12T00:50:03Z/2022-03-12T01:50:19Z,2022,3,12,3,28,60,minutes,"LINESTRING ( -141.045533 53.985933 , -140.937983 54.03795 )",54.011953582998025,-140.99179153459727,4561.608317757659,WGS84,midwater trawl
IYS2022-002-114,2022-03-12T17:10:04Z/2022-03-12T18:10:18Z,2022,3,12,3,29,60,minutes,"LINESTRING ( -140.989216 54.964916 , -140.989016 55.06045 )",55.01268318874307,-140.98911611885626,5317.606066331757,WGS84,midwater trawl
IYS2022-002-118,2022-03-13T03:58:28Z/2022-03-13T04:58:25Z,2022,3,13,2,39,60,minutes,"LINESTRING ( -140.9393 55.963233 , -141.022966 56.025716 )",55.99448167495085,-140.98109926070055,4349.055089043215,WGS84,midwater trawl
IYS2022-002-125,2022-03-14T19:12:16Z/2022-03-14T20:12:18Z,2022,3,14,3,56,60,minutes,"LINESTRING ( -143.89225 57.010483 , -144.045616 57.00445 )",57.007489984207034,-143.9689392061118,4671.352748001367,WGS84,midwater trawl
IYS2022-002-127,2022-03-15T02:09:32Z/2022-03-15T03:09:21Z,2022,3,15,3,41,60,minutes,"LINESTRING ( -143.997683 56.053433 , -144.000816 55.972883 )",56.013158142322474,-143.99925112988683,4485.3660533031425,WGS84,midwater trawl
IYS2022-002-134,2022-03-15T14:28:07Z/2022-03-15T15:28:26Z,2022,3,15,3,38,60,minutes,"LINESTRING ( -144.070066 55.0049 , -143.960083 54.961066 )",54.982995469157316,-144.01504454355756,4283.426825488204,WGS84,midwater trawl
IYS2022-002-139,2022-03-16T00:13:07Z/2022-03-16T01:13:19Z,2022,3,16,3,28,60,minutes,"LINESTRING ( -143.988233 53.958566 , -144.016566 54.037966 )",53.99826696670304,-144.00238602180602,4515.410436082882,WGS84,midwater trawl
IYS2022-002-143,2022-03-16T16:31:29Z/2022-03-16T17:31:43Z,2022,3,16,3,34,60,minutes,"LINESTRING ( -144.02655 52.963466 , -143.979166 53.0455 )",53.00448550225822,-144.00288045643492,4833.776837047599,WGS84,midwater trawl
IYS2022-002-148,2022-03-19T17:36:40Z/2022-03-19T18:36:44Z,2022,3,19,3,37,60,minutes,"LINESTRING ( -132.075683 50.966483 , -131.97605 51.016016 )",50.99126017352218,-132.02589301260767,4452.5154407378595,WGS84,midwater trawl
